"","year","stateuni","ipop","imale","pcr_prop","pcr_order","pcr_econ","pmurder","pcr_womtot","pwomgirl","prape2","pkidmen","majstate","elec_womres","elec_scres","chargesheet_rate","wwinner","wwinclose5","murder_m","murder_f","postwres","postscres","plit","pwlit","prural","pfarm","pfemale","womancm","ppol_strength","parrest_womcrime","parrest_nonwomen","parrest_rape","parrest_womgirl","parrest_kidmen","charge_womcrime","pcgsdp","psuic_m","psuic_f","pmurder_love","sh_murder_lovedowry","stateid","yearofres","pscmurder","pscrape","pscpcr","pscpoa","psctot","pstmurder","pstrape","pstpcr","pstpoa","psttot","lpcr_womtot","lprape2","lpwomgirl","lpkidmen","lpcr_prop","lpcr_order","lpcr_econ","lpmurder","lpmurder_love","lpsuic_f","lpsuic_m","lpsctot","lpscmurder","lpscrape","lpscpoa","lpscpcr","lpsttot","lpstmurder","lpstrape","lpstpoa","lpstpcr","lparrest_womcrime","lparrest_rape","lparrest_womgirl","lparrest_nonwomen","lparrest_kidmen","lpmurder_m","lpmurder_f"
"1",1985,"ANDHRA PRADESH",58733007,29755185.5999999,0.37018368,0.011594843,0.121941656,0.029438302,0.06718931,NA,0.014459334,NA,1,1995,1995,NA,0.034013607,0.0034013605,NA,NA,0,0,0.33057928,0.23526312,0.7506105,0.29363903,0.9738747,0,0.9231606,0.06736186,0.011168541,0.009807092,0,0,NA,0.96723443,0.07887701,0.05776832,0.0011042928,0.018507808,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.700241,-4.236415,NA,NA,-0.993756,-4.457195,-2.1042125,-3.5254586,-6.8085504,-2.8513148,-2.5398655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1986,"ANDHRA PRADESH",60028840.5,30416751.5,0.32182863,0.05244146,0.03141823,0.026637197,0.06629049,NA,0.014453556,NA,1,1995,1995,NA,0.034013607,0.0034013605,NA,NA,0,0,0.33752424,0.24225429,0.7469991,0.29360288,0.97354543,0,0.9650528,0.061765313,0.012011826,0.009078969,0,0,NA,0.92920446,0.07436691,0.058422085,0.0008780198,0.016260162,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7137089,-4.236815,NA,NA,-1.133736,-2.948058,-3.460367,-3.6254466,-7.0378413,-2.8400612,-2.5987442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1987,"ANDHRA PRADESH",61324674,31078317.3999999,0.3477393,0.010256883,0.14506397,0.028683398,0.051741768,NA,0.01567131,NA,1,1995,1995,NA,0.034013607,0.0034013605,NA,NA,0,0,0.3441757,0.24895224,0.74354035,0.29356825,0.9732302,0,0.8814723,0.06926454,0.013769825,0.011447269,0,0,NA,1.0234834,0.084753625,0.057428405,0.0016200298,0.027856737,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.96149,-4.155924,NA,NA,-1.0563022,-4.5798063,-1.9305805,-3.551437,-6.4253106,-2.8572164,-2.4680068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1988,"ANDHRA PRADESH",62620507.5,31739883.3,0.42703262,0.08220949,0.040529855,0.032657035,0.064344555,0.015511344,0.017648607,0.0075614643,1,1995,1995,NA,0.034013607,0.0034013605,NA,NA,0,0,0.35055187,0.25537506,0.7402247,0.29353505,0.9729281,0,0.8370261,0.10067802,0.013046685,0.012008846,0.010060602,0.0062120226,NA,1.1599562,0.086452745,0.06560748,0.009261471,0.16577017,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7435029,-4.0370984,-4.1661835,-4.8846903,-0.85089487,-2.4984846,-3.2057164,-3.421695,-4.6818924,-2.7240655,-2.4481573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2958279,-4.422112,-4.5991282,-4.339221,-5.081269,NA,NA
"5",1989,"ANDHRA PRADESH",63916341,32401449.2,0.46149388,0.08195087,0.045966335,0.035953246,0.07145828,0.015643397,0.01849919,0.007746567,1,1995,1995,NA,0.05782313,0.020408163,NA,NA,0,0,0.35666952,0.26153934,0.7370435,0.29350322,0.97263837,0,0.86550635,0.11604038,0.013540277,0.013783643,0.011734089,0.00815128,NA,1.2203605,0.09866843,0.07202944,0.01047124,0.1618799,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6386416,-3.9900284,-4.1577063,-4.8605056,-0.77328646,-2.5016353,-3.079846,-3.325536,-4.559123,-2.6306803,-2.3159902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.153817,-4.2842727,-4.445257,-4.3020864,-4.8095803,NA,NA
"6",1990,"ANDHRA PRADESH",65212174.5,33063015.0999999,0.46586394,0.08265328,0.042354055,0.040038537,0.0571088,0.018663008,0.018663008,0.01158394,1,1995,1995,NA,0.05782313,0.020408163,NA,NA,0,0,0.36254403,0.2674604,0.73398876,0.29347265,0.9723602,0,1.2400752,0.08734287,0.010458738,0.011102221,0.0106881885,0.011761608,NA,1.2487357,0.10005137,0.07334562,0.008553878,0.124473386,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.862797,-3.981212,-3.981212,-4.4581356,-0.76386166,-2.493101,-3.1616912,-3.217913,-4.7613707,-2.6125724,-2.3020716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.437914,-4.50061,-4.538616,-4.5603175,-4.4429145,NA,NA
"7",1991,"ANDHRA PRADESH",66508008,33724581,0.46436512,0.08095266,0.036567025,0.04200998,0.052068993,0.013970474,0.020254137,0.012483476,1,1995,1995,83.5,0.05782313,0.020408163,NA,NA,0,0,0.36818963,0.27315235,0.73105305,0.29344326,0.9720929,0,0.9678233,0.08049799,0.010383066,0.013472062,0.0078035714,0.011021229,88.8,1.2946144,0.107814535,0.07647157,0.010249081,0.13743736,"ANDHRA PRADESH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9551857,-3.8993962,-4.270809,-4.3833494,-0.7670841,-2.5138907,-3.3086083,-3.169848,-4.5805674,-2.5708363,-2.2273428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5195231,-4.307137,-4.8531737,-4.5675793,-4.5079317,NA,NA
"8",1992,"ANDHRA PRADESH",67478207.8999999,34204864.1999999,0.43104285,0.057826076,0.04610377,0.041198485,0.05358644,0.016860344,0.02323181,0.0115188295,1,1995,1995,84,0.05782313,0.020408163,NA,NA,0,0,0.3857873,0.2917752,0.7305899,0.2858227,0.97276646,0,0.9986335,0.08889999,0.01208353,0.015649498,0.0101662455,0.008032223,89.45,1.257861,0.11194314,0.08129631,0.011210175,0.15467626,"ANDHRA PRADESH",NA,0.003715114,0.0039008695,0.026470186,0,0.054890808,0.0028024658,0.0018683106,0.0046707764,0,0.023120344,-2.9264593,-3.7622328,-4.082791,-4.4637723,-0.8415478,-2.8503156,-3.0768604,-3.1893537,-4.4909334,-2.5096548,-2.1897643,-2.9024093,-5.595346,-5.546556,NA,-3.6317363,-3.7670424,-5.8772554,-6.2827206,NA,-5.36643,-2.4202433,-4.1573167,-4.588682,-4.4159117,-4.824294,NA,NA
"9",1993,"ANDHRA PRADESH",68448407.8,34685147.4,0.40424606,0.047554065,0.044763643,0.036728393,0.06021338,0.013979693,0.024879115,0.009341174,1,1995,1995,85.06,0.05782313,0.020408163,NA,NA,0,0,0.4028861,0.3098576,0.73014,0.27841815,0.9734213,0,1.0344287,0.09874639,0.012594742,0.016523395,0.009817613,0.0057999888,92.1,1.3742623,0.12907542,0.09990149,0.010840185,0.17820206,"ANDHRA PRADESH",NA,0.0026504365,0.0034729857,0.025316238,0,0.061965376,0.0032077678,0.0036660205,0.0011456314,0,0.026807774,-2.8098607,-3.6937265,-4.2701497,-4.673323,-0.9057315,-3.045888,-3.106359,-3.3042052,-4.524495,-2.3035707,-2.0473583,-2.7811794,-5.933031,-5.6627407,NA,-3.6763093,-3.6190634,-5.74218,-5.608649,NA,-6.7717996,-2.3152003,-4.102978,-4.623577,-4.374476,-5.1498995,NA,NA
"10",1994,"ANDHRA PRADESH",69418607.7,35165430.6,0.3725658,0.048315577,0.04714874,0.034846563,0.047645215,0.018917954,0.025486687,0.009810772,1,1995,1995,85.8,0.027210884,0.006802721,NA,NA,0,0,0.41950694,0.32742274,0.7297026,0.2712206,0.9740582,0,1.032,0.0767812,0.011869353,0.015168844,0.00943551,0.008729648,88.649994,1.4310932,0.11505618,0.09298407,0.010422391,0.17693262,"ANDHRA PRADESH",NA,0.0014393203,0.0032384708,0.02140989,0.027616959,0.10812894,0.00067463215,0.0049473024,0.0022487738,0.00944485,0.043401334,-3.043973,-3.669599,-3.967644,-4.6242743,-0.9873416,-3.0300012,-3.054448,-3.3568008,-4.563799,-2.375327,-2.1623347,-2.2244308,-6.5435843,-5.732654,-3.5893252,-3.8439023,-3.1372652,-7.301343,-5.3089128,-4.662286,-6.09737,-2.5667956,-4.188512,-4.6632752,-4.4337955,-4.74103,NA,NA
